"Faixa Etária det","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995"
"15 a 19 anos",0,0,1,0,1,2,1,2,1,1,0,0,0,1,0,0
"20 a 24 anos",1,0,1,1,4,1,0,1,0,1,1,1,0,1,1,1
"25 a 29 anos",1,2,2,2,3,0,0,2,4,1,2,2,2,0,1,1
"30 a 34 anos",1,1,1,3,1,0,2,1,2,1,1,2,5,4,3,0
"35 a 39 anos",11,3,4,4,2,5,3,7,7,5,2,3,5,5,6,8
"40 a 44 anos",9,12,10,5,8,12,12,6,7,14,7,16,11,10,17,12
"45 a 49 anos",12,11,10,22,7,16,14,11,14,14,18,18,13,10,15,22
"50 a 54 anos",24,22,18,17,31,18,14,24,16,26,28,24,27,33,18,26
"55 a 59 anos",21,31,23,16,27,26,28,25,43,28,31,31,34,46,31,35
"60 a 64 anos",23,21,23,26,28,31,28,27,33,37,33,33,28,47,40,48
"65 a 69 anos",25,25,28,29,31,27,35,36,31,29,35,33,35,37,33,47
"70 a 74 anos",23,23,27,19,26,18,25,26,30,25,26,21,25,21,28,40
"75 a 79 anos",15,16,24,18,30,19,21,22,27,17,28,29,25,29,25,31
"80 anos e mais",14,16,12,15,20,28,21,17,21,29,34,39,34,30,30,30
